traditional,simplified,pinyin,cefr_level,part_of_speech,definitions
我,我,wŏ,A0,N,I |  me |  my
你,你,nĭ,A0,N,"you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.)"
妳,妳,nĭ,A0,N,variant of 嬭|奶
他,他,tā,A0,N,he |  him (used for either sex when the sex is unknown or unimportant) | (used before sb's name for emphasis) | (used as a meaningless mock object) | (literary) other
她,她,tā,A0,N,she
我們,我们,wŏmen,A0,N,we |  us |  ourselves |  our
你們,你们,nĭmen,A0,N,you (plural)
妳們,妳们,nĭmen,A0,N,No definition available
他們,他们,tāmen,A0,N,they
她們,她们,tāmen,A0,N,they | them (for females)
您,您,nín,A0,N,"you (courteous, as opposed to informal 你)"
誰,谁,shéi,A0,N,who | also pr. 
姓名,姓名,xìngmíng,A0,N,surname and given name | full name
人,人,rén,A0,N,person |  people
國,国,guó,A0,N,country |  nation |  state (CL:個|个) | (bound form) national
中國,中国,zhōngguó,A0,N,China
美國,美国,měiguó,A0,N,United States | USA | US
日本,日本,rìběn,A0,N,Japan
台灣,台湾,táiwān,A0,N,Taiwan
臺灣,台湾,táiwān,A0,N,Taiwan
名字,名字,míngzi,A0,N,name (of a person or thing)
家,家,jiā,A0,N,"home | family | (polite) my (sister, uncle etc) | classifier for families or businesses | refers to the philosophical schools of pre-Han China | noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian"
電話,电话,diànhuà,A0,N,telephone | phone call | phone number
時間,时间,shíjiān,A0,N,(concept of) time | (duration of) time | (point in) time
小時,小时,xiăoshí,A0,N,hour
現在,现在,xiànzài,A0,N,now | at present | at the moment | modern | current | nowadays
今年,今年,jīnnián,A0,N,this year
今天,今天,jīntiān,A0,N,today | the present time |  now
明天,明天,míngtiān,A0,N,tomorrow
昨天,昨天,zuótiān,A0,N,yesterday
早上,早上,zăoshàng,A0,N,early morning
上午,上午,shàngwŭ,A0,N,morning
中午,中午,zhōngwŭ,A0,N,noon | midday
下午,下午,xiàwŭ,A0,N,afternoon | p.m.
晚上,晚上,wănshàng,A0,N,evening | night | in the evening
一,一,yī,A0,N,"one | single | a (article) | as soon as | entire |  whole |  all |  throughout | ""one"" radical in Chinese characters (Kangxi radical 1) | also pr.  for greater clarity when spelling out numbers digit by digit"
二,二,èr,A0,N,two | 2 | (Beijing dialect) stupid
三,三,sān,A0,N,three | 3
四,四,sì,A0,N,four | 4
五,五,wŭ,A0,N,five | 5
六,六,liù,A0,N,six | 6
七,七,qī,A0,N,seven | 7
八,八,bā,A0,N,eight |  8
九,九,jiŭ,A0,N,nine | 9
十,十,shí,A0,N,ten | 10
兩,两,liăng,A0,N,"two | both | some | a few | tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)"
時候,时候,shíhòu,A0,N,time | length of time | moment | period
百,百,băi,A0,N,hundred | numerous | all kinds of
半,半,bàn,A0,N,half | semi- | incomplete | (after a number) and a half
千,千,qiān,A0,N,see 鞦韆|秋千
爸爸,爸爸,bàba/bà,A0,N,(coll.) father |  dad
爸,爸,bàba/bà,A0,N,father | dad | pa | papa
媽媽,妈妈,māma/mā,A0,N,mama | mommy | mother
媽,妈,māma/mā,A0,N,ma | mom | mother
哥哥,哥哥,gēge/gē,A0,N,older brother
哥,哥,gēge/gē,A0,N,elder brother
弟弟,弟弟,dìdi/dì,A0,N,younger brother
弟,弟,dìdi/dì,A0,N,variant of 悌
姊姊,姊姊,jiějie/jiě,A0,N,older sister | Taiwan pr. 
姐姐,姐姐,jiějie/jiě,A0,N,older sister
姊,姊,jiějie/jiě,A0,N,older sister | Taiwan pr. 
姐,姐,jiějie/jiě,A0,N,older sister
妹妹,妹妹,mèimei/mèi,A0,N,younger sister | young woman
妹,妹,mèimei/mèi,A0,N,younger sister
小孩,小孩,xiăohái,A0,N,child
的,的,de,A0,Ptc,(bound form) bull's-eye |  target
第,第,dì,A0,Det,"(prefix indicating ordinal number, as in 第六 ""sixth"") | (literary) grades in which successful candidates in the imperial examinations were placed | (old) residence of a high official | (literary) but |  however | (literary) only |  just"
分,分,fēn,A0,M,part | share | ingredient | component
點,点,diăn,A0,M,point | dot | drop | speck | o'clock | point (in space or time) | to draw a dot | to check on a list | to choose | to order (food in a restaurant) | to touch briefly | to hint | to light | to ignite | to pour a liquid drop by drop | (old) one fifth of a two-hour watch 更 | dot stroke in Chinese characters | classifier for items
個,个,ge,A0,M,variant of 個|个
歲,岁,suì,A0,M,classifier for years (of age) | year | year (of crop harvests)
年,年,nián,A0,M,grain | harvest (old) | variant of 年
住,住,zhù,A0,V,"to live | to dwell | to stay | to reside | to stop | (suffix indicating firmness, steadiness, or coming to a halt)"
來,来,lái,A0,V,"to come | (used as a substitute for a more specific verb) | hither (directional complement for motion toward the speaker, as in 回來|回来) | ever since (as in 自古以來|自古以来) | for the past (amount of time) | (prefix) the coming ... |  the next ... (as in 來世|来世) | (between two verbs) in order to | (after a round number) approximately | (used after 得 to indicate possibility, as in 談得來|谈得来, or after 不 to indicate impossibility, as in 吃不來|吃不来)"
是,是,shì,A0,Vst,variant of 是
姓,姓,xìng,A0,Vst,family name | surname | to be surnamed
覺得,觉得,juéde,A0,Vst,to think that ... |  to feel that ... | to feel (uncomfortable etc)
喜歡,喜欢,xĭhuān,A0,Vst,to like |  to be fond of
打電話,打电话,dădiànhuà,A0,Vi,to make a telephone call
漂亮,漂亮,piàolìang,A0,Vs,pretty |  beautiful
高,高,gāo,A0,Vs,high | tall | above average | loud | your (honorific)
老,老,lăo,A0,Vs,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity | old (of people) | venerable (person) | experienced | of long standing | always | all the time | of the past | very | outdated | (of meat etc) tough
好,好,hăo,A0,Adv,to be fond of |  to have a tendency to |  to be prone to
很,很,hěn,A0,Adv,(adverb of degree) | quite | very | awfully
真,真,zhēn,A0,Adv,really | truly | indeed | real | true | genuine
電腦,电脑,diànnăo,A0,N,computer
老師,老师,lăoshī,A0,N,teacher
買,买,măi,A0,V,to buy | to purchase
忙,忙,máng,A0,Vs,busy | hurriedly | to hurry | to rush
學生,学生,xuéshēng,A0,N,student | schoolchild
大學,大学,dàxué,A0,N,university | college
學校,学校,xuéxiào,A0,N,school
中文,中文,zhōngwén,A0,N,Chinese language
同學,同学,tóngxué,A0,N,to study at the same school | fellow student | classmate
字,字,zì,A0,N,letter | symbol | character | word | courtesy or style name traditionally given to males aged 20 in dynastic China
筆,笔,bĭ,A0,N,"pen | pencil | writing brush | to write or compose | the strokes of Chinese characters | classifier for sums of money, deals"
學,学,xué,A0,V,to learn | to study | to imitate | science | -ology
問,问,wèn,A0,V,to ask |  to inquire
說,说,shuō,A0,V,variant of 說|说
寫,写,xiě,A0,V,to write
聽,听,tīng,A0,V,"to listen to |  to hear | to heed |  to obey | a can (loanword from English ""tin"") | classifier for canned beverages | to let be |  to allow (Taiwan pr. ) | (literary) to administer |  to deal with (Taiwan pr. )"
對,对,duì,A0,Vs,right |  correct | towards |  at |  for | concerning |  regarding | to treat (sb a certain way) | to face | (bound form) opposite |  facing |  matching | to match together |  to adjust | to fit |  to suit | to answer |  to reply | to add |  to pour in (a fluid) | to check |  to compare | classifier: couple |  pair
能,能,néng,A0,Vaux,can | to be able to | might possibly | ability | (physics) energy
可以,可以,kěyĭ,A0,Vaux,can | may | possible | able to | not bad | pretty good
上課,上课,shàngkè,A0,V-sep,to go to class | to attend class | to go to teach a class
知道,知道,zhīdào,A0,Vst,to know |  to become aware of | also pr. 
電視,电视,diànshì,A0,N,television |  TV
水,水,shuĭ,A0,N,water | river | liquid | beverage | additional charges or income | (of clothes) classifier for number of washes
久,久,jiŭ,A0,Vs-pred,(long) time | (long) duration of time
早,早,zăo,A0,Vs,early | morning | Good morning! | long ago | prematurely
再,再,zài,A0,Adv,"again |  once more |  re- | second |  another | then (after sth, and not until then) | no matter how ... (followed by an adjective or verb, and then (usually) 也 or 都 for emphasis)"
書,书,shū,A0,N,book | letter | document | to write
電影,电影,diànyĭng,A0,N,movie |  film
以前,以前,yĭqián,A0,N,before | formerly | previous | ago
以後,以后,yĭhòu,A0,N,after | later | afterwards | following | later on | in the future
走,走,zŏu,A0,V,"to walk | to go | to run | to move (of vehicle) | to visit | to leave | to go away | to die (euph.) | from | through | away (in compound verbs, such as 撤走) | to change (shape, form, meaning)"
等,等,děng,A0,V,to wait for |  to await | by the time |  when |  till | and so on |  etc. |  et al. | (bound form) class |  rank |  grade | (bound form) equal to |  same as | (used to end an enumeration) | (literary) (plural suffix attached to a personal pronoun or noun)
看,看,kàn,A0,V,to see |  to look at | to read | to watch | to visit |  to call on | to consider |  to regard as | to look after | to treat (a patient or illness) | to depend on | to feel (that) | (after a verb) to give it a try | to watch out for
就,就,jiù,A0,Adv,(after a suppositional clause) in that case |  then | (after a clause of action) as soon as |  immediately after | (same as 就是) merely |  nothing else but |  simply |  just |  precisely |  exactly | only |  as little as | as much as |  as many as | to approach |  to move towards | to undertake |  to engage in | (often followed by 著|着) taking advantage of | (of food) to go with | with regard to |  concerning | (pattern: 就 ... 也 ...) even if ... still ... | (pattern: 不 ... 就 ...) if not ... then must be ...
什麼,什么,shénme,A0,N,what? | something | anything
甚麼,甚么,shénme,A0,N,No definition available
朋友,朋友,péngyŏu,A0,N,friend
東西,东西,dōngxi,A0,N,thing | stuff | person
吧,吧,ba,A0,Ptc,(onom.) smack!
呢,呢,ne,A0,Ptc,woolen material
嗎,吗,ma,A0,Ptc,"(question particle for ""yes-no"" questions)"
找,找,zhăo,A0,V,to try to find | to look for | to call on sb | to find | to seek | to return | to give change
做,做,zuò,A0,V,"to make |  to produce | to write |  to compose | to do |  to engage in |  to hold (a party etc) | (of a person) to be (an intermediary, a good student etc) |  to become (husband and wife, friends etc) | (of a thing) to serve as |  to be used for | to assume (an air or manner)"
再見,再见,zàijiàn,A0,Vi,goodbye | see you again later
怎麼樣,怎么样,zěnmeyàng,A0,Vs,how? | how about? | how was it? | how are things?
叫,叫,jiào,A0,Vst / V,variant of 叫
謝謝,谢谢,xièxie,A0,Vst,to thank | thanks | thank you
對不起,对不起,duìbùqĭ,A0,,I'm sorry |  excuse me |  I beg your pardon | to let (sb) down |  to disappoint
請問,请问,qĭngwèn,A0,,"Excuse me, may I ask...?"
這,这,zhè,A0,Det,"(pronoun) this |  these | (bound form) this |  the (followed by a noun) | (bound form) this |  these (followed by a classifier) (in this sense, commonly pr. , esp. in Beijing)"
那,那,nà,A0,Det,(archaic) many | beautiful | how | old variant of 挪
公共汽車,公共汽车,gōnggòngqìchē/gōngchē,A0,N,bus
公車,公车,gōnggòngqìchē/gōngchē,A0,N,"bus | abbr. for 公共汽車|公共汽车 | car belonging to an organization and used by its members (government car, police car, company car etc) | abbr. for 公務用車|公务用车"
車,车,chē,A0,N,war chariot (archaic) | rook (in Chinese chess) | rook (in chess)
到,到,dào,A0,V,to reach |  to arrive | to leave for |  to go to | to (a place) |  until (a time) |  up to (a point) | (verb complement indicating arriving at a place or reaching a point) | considerate |  thoughtful |  thorough
去,去,qù,A0,V,to go | to go to (a place) | (of a time etc) last | just passed | to send | to remove | to get rid of | to reduce | to be apart from in space or time | to die (euphemism) | to play (a part) | (when used either before or after a verb) to go in order to do sth | (after a verb of motion indicates movement away from the speaker) | (used after certain verbs to indicate detachment or separation)
回,回,huí,A0,V,variant of 迴|回
坐,坐,zuò,A0,Vi,"to sit | to take a seat | to take (a bus, airplane etc) | to bear fruit | variant of 座"
這裡,这里,zhèlĭ/zhèr,A0,N,here
這裏,这里,zhèlĭ/zhèr,A0,N,here
這兒,这儿,zhèlĭ/zhèr,A0,N,here
那裡,那里,nàlĭ/nàr,A0,N,there |  that place
那裏,那里,nàlĭ/nàr,A0,N,there |  that place
那兒,那儿,nàlĭ/nàr,A0,N,there
哪裡,哪里,nălĭ/năr,A0,N,where? | somewhere | anywhere | wherever | nowhere (negative answer to question) | humble expression denying compliment
哪裏,哪里,nălĭ/năr,A0,N,where? | somewhere | anywhere | wherever | nowhere (negative answer to question) | humble expression denying compliment
哪兒,哪儿,nălĭ/năr,A0,N,where? | wherever |  anywhere |  somewhere | (used in rhetorical questions) how can ...? |  how could ...?
開車,开车,kāichē,A0,V-sep,to drive a car
錢,钱,qián,A0,N,"coin | money | unit of weight, one tenth of a tael 兩|两"
多少,多少,duōshăo,A0,N,"how much? | how many? | (phone number, student ID etc) what number?"
給,给,gěi,A0,V,to supply | to provide
貴,贵,guì,A0,Vs,expensive | noble | precious | (honorific) your
便宜,便宜,piányí,A0,Vs,cheap |  inexpensive | a petty advantage | to let sb off lightly
大,大,dà,A0,Vs,see 大夫
小,小,xiăo,A0,Vs,small | tiny | few | young
難,难,nán,A0,Vs,disaster | distress | to scold
容易,容易,róngyì,A0,Vs,easy |  straightforward | likely |  liable to |  apt to
有,有,yŏu,A0,Vst,to have |  there is | (bound form) having |  with |  -ful |  -ed |  -al (as in 有意 intentional)
想,想,xiăng,A0,Vst,to think (about) | to think of |  to devise | to think (that) |  to believe (that) | to desire |  to want (to) | to miss (feel wistful about the absence of)
幾,几,jĭ,A0,Det,how much | how many | several | a few
塊,块,kuài,A0,M,"lump |  chunk |  piece | classifier for pieces of cloth, cake, soap etc | (coll.) classifier for money and currency units"
位,位,wèi,A0,M,position | location | place | seat | classifier for people (honorific) | classifier for binary bits (e.g. 十六位 16-bit or 2 bytes) | (physics) potential
飯,饭,fàn,A0,N,cooked rice | meal | (loanword) fan | devotee
吃,吃,chī,A0,V,variant of 吃
請,请,qĭng,A0,V,to ask | to invite | please (do sth) | to treat (to a meal etc) | to request
也,也,yě,A0,Adv,(adverb) also |  both ... and ... (before predicates only) | (literary) particle having functions similar to 啊
不,不,bù,A0,Adv,no |  not so | (bound form) not |  un-
沒,没,méi,A0,Adv,drowned | to end | to die | to inundate
都,都,dōu,A0,Adv,capital city | metropolis
只,只,zhĭ,A0,Adv,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc"
可是,可是,kěshì,A0,Conj,but |  however | (used for emphasis) indeed
還是,还是,háishì,A0,Conj,still (as before) | had better | unexpectedly | or
了,了,le,A0,Ptc,unofficial variant of 瞭
得,得,de,A0,Ptc,to have to | must | ought to | to need to
過,过,guò,A0,Ptc,(experienced action marker)
沒有,没有,méiyŏu,A0,Ptc,haven't | hasn't | doesn't exist | to not have | to not be
男,男,nán,A0,N,"male | Baron, lowest of five orders of nobility 五等爵位"
女,女,nǚ,A0,N,archaic variant of 汝
孩子,孩子,háizi,A0,N,child
小姐,小姐,xiăojiě,A0,N,young lady | miss | (slang) prostitute
先生,先生,xiānshēng,A0,N,teacher | gentleman |  sir |  mister (Mr.) | husband | (dialect) doctor
太太,太太,tàitai,A0,N,married woman | Mrs. | Madam | wife
女兒,女儿,nǚér,A0,N,daughter
兒子,儿子,érzi,A0,N,son
大家,大家,dàjiā,A0,N,everyone | influential family | great expert
路,路,lù,A0,N,road | journey | route | line (bus etc) | sort |  kind
手機,手机,shŏujī,A0,N,cell phone | mobile phone
明年,明年,míngnián,A0,N,next year
去年,去年,qùnián,A0,N,last year
生日,生日,shēngrì,A0,N,birthday
月,月,yuè,A0,N,moon | month | monthly
日,日,rì,A0,N,"sun | day | date, day of the month"
星期,星期,xīngqí,A0,N,week | day of the week | Sunday
星期天,星期天,xīngqítiān/xīngqírì,A0,N,Sunday
星期日,星期日,xīngqítiān/xīngqírì,A0,N,Sunday
禮拜天,礼拜天,lĭbàitiān,A0,N,Sunday
週末,周末,zhōumò,A0,N,weekend
周末,周末,zhōumò,A0,N,weekend
號,号,hào,A0,M,ordinal number | day of a month | mark | sign | business establishment | size | ship suffix | horn (wind instrument) | bugle call | assumed name | to take a pulse | classifier used to indicate number of people
天,天,tiān,A0,N / M,day | sky | heaven
從,从,cóng,A0,Prep,from | through | via | to follow | to obey | to engage in (an activity) | never (in negative sentence) | (Taiwan pr. ) retainer | assistant | auxiliary | subordinate | related by common paternal grandfather or earlier ancestor
在,在,zài,A0,Prep / Vst,to exist |  to be alive | (of sb or sth) to be (located) at | (used before a verb to indicate an action in progress)
愛,爱,ài,A0,Vst,to love |  to be fond of |  to like | affection | to be inclined (to do sth) |  to tend to (happen)
快樂,快乐,kuàilè,A0,Vs,happy |  joyful
太,太,tài,A0,Adv,highest | greatest | too (much) | very | extremely
公園,公园,gōngyuán,A0,N,park (for public recreation)
國家,国家,guójiā,A0,N,country |  nation |  state
分鐘,分钟,fēnzhōng,A0,M,minute
家人,家人,jiārén,A0,N,family member | (old) servant
胖,胖,pàng,A0,Vs,fat | plump
矮,矮,ăi,A0,Vs,low | short (in length)
瘦,瘦,shòu,A0,Vs,thin | to lose weight | (of clothing) tight | (of meat) lean | (of land) unproductive
萬,万,wàn,A0,N,ten thousand | a great number
鐘頭,钟头,zhōngtóu,A0,N,hour
晚,晚,wăn,A0,N,evening | night | late
前天,前天,qiántiān,A0,N,the day before yesterday
後天,后天,hòutiān,A0,N,"the day after tomorrow | life after birth (the period in which one develops through experiences, contrasted with 先天) | acquired (not innate or congenital) | a posteriori"
前年,前年,qiánnián,A0,N,the year before last
後年,后年,hòunián,A0,N,the year after next
自己,自己,zìjĭ,A0,N,oneself | one's own
它,它,tā,A0,N,it
它們,它们,tāmen,A0,N,they (for inanimate objects)
最,最,zuì,A0,Adv,most | the most | -est (superlative suffix)
怕,怕,pà,A0,Vst,to be afraid | to fear | to dread | to be unable to endure | perhaps
美,美,měi,A0,Vs,beautiful | very satisfactory |  good | to beautify | to be pleased with oneself
應該,应该,yīnggāi /yīng,A0,Vaux,ought to | should | must
應,应,yīnggāi /yīng,A0,Vaux,to answer | to respond | to comply with | to deal or cope with
真的,真的,zhēnde,A0,Adv,really |  truly |  indeed | real |  true |  genuine | (math.) proper
非常,非常,fēicháng,A0,Adv,very |  really | unusual |  extraordinary
工作,工作,gōngzuò,A0,N,to work | (of a machine) to operate | job | work | task
醫生,医生,yīshēng/yīshī,A0,N,doctor
醫師,医师,yīshēng/yīshī,A0,N,doctor
一點,一点,yīdiăn/yīdiănr/yīdiăndiăn,A0,Det,a bit | a little | one dot | one point
一點兒,一点儿,yīdiăn/yīdiănr/yīdiăndiăn,A0,Det,erhua variant of 一點|一点
一點點,一点点,yīdiăn/yīdiănr/yīdiăndiăn,A0,Det,a little bit
一些,一些,yīxiē,A0,Det,some | a few | a little | (following an adjective) slightly ...er
本,本,běn,A0,M,"root | stem | origin | source | this | the current | original | inherent | originally | classifier for books, periodicals, files etc"
張,张,zhāng,A0,M,"to open up | to spread | sheet of paper | classifier for flat objects, sheet | classifier for votes"
英文,英文,yīngwén,A0,N,English (language)
紙,纸,zhĭ,A0,N,"paper | classifier for documents, letter etc"
問題,问题,wèntí,A0,N,question | problem | issue | topic
意思,意思,yìsi,A0,N,"idea | opinion | meaning | wish | desire | interest | fun | token of appreciation, affection etc | to give as a small token | to do sth as a gesture of goodwill etc"
餐廳,餐厅,cāntīng/fànguăn,A0,N,dining hall | dining room | restaurant
飯館,饭馆,cāntīng/fànguăn,A0,N,restaurant
畫,画,huà/huàr,A0,V / N,"to draw |  to paint | picture |  painting (CL:幅,張|张) | to draw (a line) (variant of 劃|划) | stroke of a Chinese character (variant of 劃|划) | (calligraphy) horizontal stroke (variant of 劃|划)"
畫兒,画儿,huà/huàr,A0,V / N,picture | drawing | painting
讀,读,dú,A0,V,to read out |  to read aloud | to read | to attend (school) |  to study (a subject in school) | to pronounce
會,会,huì,A0,Vaux,to balance an account | accounting | accountant
為什麼,为什么,wèishénme,A0,Vs,why? | for what reason?
下課,下课,xiàkè,A0,V-sep,to finish class | to get out of class | (fig.) (esp. of a sports coach) to be dismissed | to be fired
說話,说话,shuōhuà,A0,V-sep,to speak | to say | to talk | to gossip | to tell stories | talk | word
考試,考试,kăoshì,A0,V-sep / N,to take an exam | exam
懂,懂,dŏng,A0,Vst,to understand | to comprehend
念,念,niàn,A0,V,to read | to study (a subject) | to attend (a school) | to read aloud | to give (sb) a tongue-lashing (CL:頓|顿) | to miss (sb) | idea | remembrance | twenty (banker's anti-fraud numeral corresponding to 廿)
唸,念,niàn,A0,V,to read | to study (a subject) | to attend (a school) | to read aloud | to give (sb) a tongue-lashing (CL:頓|顿) | to miss (sb) | idea | remembrance | twenty (banker's anti-fraud numeral corresponding to 廿)
課,课,kè,A0,N,subject | course | class | lesson | to levy | tax | form of divination
教,教,jiāo,A0,V,religion | teaching | to make | to cause | to tell
告訴,告诉,gàosù,A0,V,to tell |  to inform |  to let know
錯,错,cuò,A0,Vp,mistake | wrong | bad | interlocking | complex | to grind | to polish | to alternate | to stagger | to miss | to let slip | to evade | to inlay with gold or silver
功課,功课,gōngkè,A0,N,homework | assignment | task | classwork | lesson | study
教室,教室,jiàoshì,A0,N,classroom
句子,句子,jùzi,A0,N,sentence
休息,休息,xiūxí,A0,Vi,rest | to rest
房,房,fáng,A0,N,house | room | branch of an extended family | classifier for family members (or concubines)
房間,房间,fángjiān,A0,N,room
樓,楼,lóu,A0,M,house with more than 1 story | storied building | floor
門,门,mén,A0,N,"gate | door | gateway | doorway | opening | valve | switch | way to do something | knack | family | house | (religious) sect | school (of thought) | class | category | phylum or division (taxonomy) | classifier for large guns | classifier for lessons, subjects, branches of technology | (suffix) -gate (i.e. scandal |  derived from Watergate)"
門口,门口,ménkŏu,A0,N,doorway | gate
桌,桌,zhuō,A0,N,old variant of 桌
椅,椅,yĭ,A0,N,chair
床,床,chuáng,A0,N,variant of 床
開,开,kāi,A0,V,"to open (transitive or intransitive) | (of ships, vehicles, troops etc) to start | to turn on |  to put in operation |  to operate |  to run | to boil | to write out (a prescription, check, invoice etc) | (directional complement) away |  off | carat (gold) | abbr. for Kelvin, 開爾文|开尔文 | abbr. for 開本|开本, book format"
低,低,dī,A0,Vs,low | beneath | to lower (one's head) | to let droop | to hang down | to incline
不錯,不错,bùcuò,A0,Vs,correct | right | not bad | pretty good
天氣,天气,tiānqì,A0,N,weather
空氣,空气,kōngqì,A0,N,air | atmosphere
冷,冷,lěng,A0,Vs,cold
熱,热,rè,A0,Vs,to warm up | to heat up | hot (of weather) | heat | fervent
雨,雨,yŭ,A0,N,"(literary) to rain | (of rain, snow etc) to fall | to precipitate | to wet"
下雨,下雨,xiàyŭ,A0,V-sep,to rain
風,风,fēng,A0,N,wind | news | style | custom | manner
山,山,shān,A0,N,mountain |  hill (CL:座) | (coll.) small bundle of straw for silkworms to spin cocoons on
花,花,huā/huār,A0,N,variant of 花 | flower | blossom | also pr. 
花兒,花儿,huā/huār,A0,N,erhua variant of 花
枝,枝,zhī,A0,M,"branch | classifier for sticks, rods, pencils etc"
魚,鱼,yú,A0,N,fish
雞,鸡,jī,A0,N,fowl | chicken | (slang) prostitute
牛,牛,niú,A0,N,ox | cow | bull | newton (abbr. for 牛頓|牛顿) | (slang) awesome
豬,猪,zhū,A0,N,hog | pig | swine
咖啡,咖啡,kāfēi,A0,N,coffee (loanword)
茶,茶,chá,A0,N,tea | tea plant
用,用,yòng,A0,V,to use | to employ | to have to | to eat or drink | expense or outlay | usefulness | hence | therefore
穿,穿,chuān,A0,V,to wear | to put on | to dress | to bore through | to pierce | to perforate | to penetrate | to pass through | to thread
起床,起床,qĭchuáng,A0,Vp,to get out of bed |  to get up
方便,方便,fāngbiàn,A0,Vs,convenient | suitable | to facilitate | to make things easy | having money to spare | (euphemism) to relieve oneself
睡覺,睡觉,shuìjiào,A0,V-sep,to go to bed | to sleep
起來,起来,qĭlái,A0,Vp,"(after a verb) indicating the beginning and continuation of an action or a state | indicating an upward movement (e.g. after 站) | indicating completion | (after a perception verb, e.g. 看) expressing preliminary judgment | also pr. "
先,先,xiān,A0,Adv,early | prior | former | in advance | first
常常,常常,chángcháng/cháng,A0,Adv,frequently | often
常,常,chángcháng/cháng,A0,Adv,always | ever | often | frequently | common | general | constant
每,每,měi,A0,Det,each | every
打,打,dă,A0,V,to beat | to strike | to hit | to break | to type | to mix up | to build | to fight | to fetch | to make | to tie up | to issue | to shoot | to calculate | to play (a game) | since | from
玩,玩,wán,A0,V,variant of 玩 | Taiwan pr. 
運動,运动,yùndòng,A0,Vi / N,to move | to exercise | sports | exercise | motion | movement | campaign
走路,走路,zŏulù,A0,V-sep,to walk | to go on foot
唱歌,唱歌,chànggē,A0,V-sep,to sing a song
跳,跳,tiào,A0,Vi,to jump | to hop | to skip over | to bounce | to palpitate
還,还,hái,A0,Adv,to pay back | to return
唱,唱,chàng,A0,V,to sing | to call loudly | to chant
歌,歌,gē,A0,N,variant of 歌
跳舞,跳舞,tiàowŭ,A0,V-sep,to dance
又,又,yòu,A0,Adv,(once) again | also | both... and... | and yet | (used for emphasis) anyway
球,球,qiú,A0,N,ball | sphere | globe | ball game | match
介紹,介绍,jièshào,A0,V,to introduce (sb to sb) | to give a presentation | to present (sb for a job etc) | introduction
沒關係,没关系,méiguānxi,A0,Vs,it doesn't matter
事,事,shì/shìr,A0,N,matter | thing | item | work | affair
事兒,事儿,shì/shìr,A0,N,one's employment | business | matter that needs to be settled | (northern dialect) (of a person) demanding | trying | troublesome | erhua variant of 事
怎麼,怎么,zěnme,A0,Adv,variant of 怎麼|怎么
哪,哪,nă,A0,Det,"which? (interrogative, followed by classifier or numeral-classifier)"
裡面,里面,lĭmiàn,A0,N,inside | interior | also pr. 
裏面,里面,lĭmiàn,A0,N,inside | interior | also pr. 
上,上,shàng,A0,N,(bound form) up |  upper |  above |  previous | first (of multiple parts) | to climb |  to get onto |  to go up | to attend (class or university) | (directional complement) up | (noun suffix) on |  above
下,下,xià,A0,N,"down | downwards | below | lower | later | next (week etc) | second (of two parts) | to decline | to go down | to arrive at (a decision, conclusion etc) | measure word to show the frequency of an action"
外,外,wài,A0,N,outside | in addition | foreign | external
外頭,外头,wàitou,A0,N,outside | out
前,前,qián,A0,N,front | forward | ahead | first | top (followed by a number) | future | ago | before | BC (e.g. 前293年) | former | formerly
